published_at,text,language
2019-03-10,Talks continue on Black Sea grain logistics; markets watch export pace,en
2019-03-12,مصادر: استقرار نسبي في حركة موانئ الحبوب بعد موسم تصدير قوي,ar
2020-05-01,Wheat futures volatile as COVID-19 disrupts supply chains globally,en
2020-05-15,تقرير: مخاوف من تأخر شحنات القمح بسبب إجراءات موانئ متفرقة,ar
2021-01-08,Analysts flag rising wheat import bills for North African buyers,en
2021-04-22,اشتباكات على الحدود تثير قلق متداولي الحبوب في المنطقة,ar
2021-09-03,Black Sea corridor uncertainty keeps grain traders on alert,en
2022-02-26,Major escalation reported; grain markets fear export disruptions,en
2022-02-27,حرب تؤجج مخاوف شح القمح وتوقف الشحن من موانئ رئيسية,ar
2022-03-05,Naval activity in grain routes raises insurance costs for cargoes,en
2022-04-11,روسيا وأوكرانيا: تصريحات متضاربة حول ممرات تصدير الحبوب,ar
2022-06-02,Higher wheat prices strain Egypt subsidy budgets say observers,en
2022-07-18,غارات قرب مناطق تصدير ترفع منسوب القلق على الإمدادات,ar
2022-09-01,Tentative deal discussed to resume grain shipments from key ports,en
2022-10-09,هدوء نسبي في الأسواق بعد إعلان هدنة محدودة على الممرات,ar
2023-01-14,Analysts: wheat corridor renewals still fragile amid conflict,en
2023-03-20,مصادر: تأخير بوابات الموانئ يضغط على جداول الشحن,ar
2023-05-22,Export pace from Black Sea region recovers modestly,en
2023-07-04,اشتباكات جديدة تعيد التوتر لأسواق القمح العالمية,ar
2023-09-10,IMF notes food security risks from commodity price swings,en
2023-11-02,تقارير عن ازدحام في ممرات الشحن تؤثر على تكلفة النقل,ar
2024-01-08,Grain traders monitor Red Sea disruptions affecting routes,en
2024-01-15,هجمات تستهدف سفنا تجارية؛ مخاوف على سلاسل الإمداد البحرية,ar
2024-03-01,Egypt continues diversified sourcing as wheat costs stay elevated,en
2024-04-20,مصادر أمنية: تصعيد بحري يزيد قيود التأمين على ناقلات الحبوب,ar
2024-06-05,Commodity funds cut wheat bets after diplomatic signals improve,en
2024-08-12,السوق المحلية تراقب أسعار القمح عالميا بعد موجة تصعيد إعلامية,ar
